2026-09-26T08:52:22.413Z [unmapped] start pid 97957: /opt/homebrew/bin/llama-server -m /Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf --port 8080 -c 16384 --jinja --host 127.0.0.1 -ngl 99
2026-09-26T08:52:22.444Z 0.00.000.475 I srv  llama_server: initializing ...
2026-09-26T08:52:22.609Z 0.00.166.232 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
2026-09-26T08:52:22.610Z 0.00.167.418 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
2026-09-26T08:52:22.611Z 0.00.168.028 I srv    load_model: loading model '/Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf'
2026-09-26T08:52:25.271Z 0.02.828.464 I cmn          init: llama threadpool init, n_threads = 6
2026-09-26T08:52:25.480Z 0.03.036.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
2026-09-26T08:52:25.487Z 0.03.044.035 I srv  llama_server: model loaded
2026-09-26T08:52:25.487Z 0.03.044.041 I srv  llama_server: listening on http://127.0.0.1:8080
2026-09-26T08:52:25.487Z 0.03.044.042 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
2026-09-26T08:52:25.939Z [unmapped] ready on :8080 after 3528 ms
2026-09-26T08:52:38.541Z 0.16.098.660 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:57:16.516Z 4.54.073.346 I slot print_timing: id  3 | task 4304 | n_gen =    176, tg =  25.35 t/s, tg_3s =  25.17 t/s
2026-09-26T08:57:19.540Z 4.57.097.066 I slot print_timing: id  3 | task 4304 | n_gen =    252, tg =  25.29 t/s, tg_3s =  25.13 t/s
2026-09-26T08:57:22.581Z 5.00.137.968 I slot print_timing: id  3 | task 4304 | n_gen =    329, tg =  25.29 t/s, tg_3s =  25.32 t/s
2026-09-26T08:57:25.606Z 5.03.163.292 I slot print_timing: id  3 | task 4304 | n_gen =    405, tg =  25.26 t/s, tg_3s =  25.12 t/s
2026-09-26T08:57:28.630Z 5.06.186.900 I slot print_timing: id  3 | task 4304 | n_gen =    481, tg =  25.24 t/s, tg_3s =  25.14 t/s
2026-09-26T08:57:31.636Z 5.09.193.166 I slot print_timing: id  3 | task 4304 | n_gen =    557, tg =  25.25 t/s, tg_3s =  25.28 t/s
2026-09-26T08:57:34.649Z 5.12.206.243 I slot print_timing: id  3 | task 4304 | n_gen =    633, tg =  25.24 t/s, tg_3s =  25.22 t/s
2026-09-26T08:57:36.360Z 5.13.917.019 I slot print_timing: id  3 | task 4304 | prompt eval time =    5458.60 ms /  1580 tokens (    3.45 ms per token,   289.45 tokens per second)
2026-09-26T08:57:36.360Z 5.13.917.022 I slot print_timing: id  3 | task 4304 |        eval time =   26746.26 ms /   676 tokens (   39.62 ms per token,    25.24 tokens per second)
2026-09-26T08:57:36.360Z 5.13.917.023 I slot print_timing: id  3 | task 4304 |       total time =   32204.86 ms /  2256 tokens
2026-09-26T08:57:36.360Z 5.13.917.023 I slot print_timing: id  3 | task 4304 |    graphs reused =       4894
2026-09-26T08:57:36.361Z 5.13.918.040 I slot      release: id  3 | task 4304 | stop processing: n_tokens = 5635, truncated = 0
2026-09-26T08:57:58.822Z 5.36.378.777 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.777 (> 0.100 thold), f_keep = 0.452
2026-09-26T08:57:59.238Z 5.36.795.098 I slot launch_slot_: id  3 | task 4984 | processing task, is_child = 0
2026-09-26T08:58:03.921Z 5.41.477.803 I slot print_timing: id  3 | task 4984 | prompt processing, n_tokens =   2048, progress = 0.62, t =   4.68 s / 437.37 tokens per second
2026-09-26T08:58:07.102Z 5.44.659.374 I slot print_timing: id  3 | task 4984 | prompt processing, n_tokens =   2764, progress = 0.84, t =   7.86 s / 351.47 tokens per second
2026-09-26T08:58:07.810Z 5.45.367.201 I slot print_timing: id  3 | task 4984 | prompt processing, n_tokens =   3245, progress = 0.99, t =   8.57 s / 378.56 tokens per second
2026-09-26T08:58:09.429Z 5.46.985.353 I slot print_timing: id  3 | task 4984 | prompt processing, n_tokens =   3276, progress = 1.00, t =  10.19 s / 321.49 tokens per second
2026-09-26T08:58:13.471Z 5.51.027.718 I slot print_timing: id  3 | task 4984 | n_gen =    100, tg =  25.81 t/s, tg_3s =  26.07 t/s
2026-09-26T08:58:16.485Z 5.54.042.142 I slot print_timing: id  3 | task 4984 | n_gen =    177, tg =  25.69 t/s, tg_3s =  25.54 t/s
2026-09-26T08:58:19.508Z 5.57.065.005 I slot print_timing: id  3 | task 4984 | n_gen =    255, tg =  25.73 t/s, tg_3s =  25.80 t/s
2026-09-26T08:58:22.546Z 6.00.103.191 I slot print_timing: id  3 | task 4984 | n_gen =    334, tg =  25.79 t/s, tg_3s =  26.00 t/s
2026-09-26T08:58:25.555Z 6.03.111.894 I slot print_timing: id  3 | task 4984 | n_gen =    412, tg =  25.82 t/s, tg_3s =  25.92 t/s
2026-09-26T08:58:28.570Z 6.06.127.040 I slot print_timing: id  3 | task 4984 | n_gen =    490, tg =  25.82 t/s, tg_3s =  25.87 t/s
2026-09-26T08:58:31.584Z 6.09.141.243 I slot print_timing: id  3 | task 4984 | n_gen =    568, tg =  25.83 t/s, tg_3s =  25.88 t/s
2026-09-26T08:58:34.622Z 6.12.179.140 I slot print_timing: id  3 | task 4984 | n_gen =    646, tg =  25.81 t/s, tg_3s =  25.68 t/s
2026-09-26T08:58:37.629Z 6.15.186.145 I slot print_timing: id  3 | task 4984 | n_gen =    724, tg =  25.83 t/s, tg_3s =  25.94 t/s
2026-09-26T08:58:40.635Z 6.18.192.200 I slot print_timing: id  3 | task 4984 | n_gen =    801, tg =  25.81 t/s, tg_3s =  25.61 t/s
2026-09-26T08:58:41.091Z 6.18.648.060 I slot print_timing: id  3 | task 4984 | prompt eval time =   10396.56 ms /  3280 tokens (    3.17 ms per token,   315.49 tokens per second)
2026-09-26T08:58:41.091Z 6.18.648.063 I slot print_timing: id  3 | task 4984 |        eval time =   31456.22 ms /   813 tokens (   38.74 ms per token,    25.81 tokens per second)
2026-09-26T08:58:41.091Z 6.18.648.066 I slot print_timing: id  3 | task 4984 |       total time =   41852.78 ms /  4093 tokens
2026-09-26T08:58:41.091Z 6.18.648.066 I slot print_timing: id  3 | task 4984 |    graphs reused =       5702
2026-09-26T08:58:41.092Z 6.18.649.300 I slot      release: id  3 | task 4984 | stop processing: n_tokens = 4092, truncated = 0
2026-09-26T08:58:41.132Z 6.18.689.168 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.637 (> 0.100 thold), f_keep = 0.801
2026-09-26T08:58:41.132Z 6.18.689.226 I slot launch_slot_: id  3 | task 5802 | processing task, is_child = 0
2026-09-26T08:58:45.518Z 6.23.075.618 I slot print_timing: id  3 | task 5802 | prompt processing, n_tokens =   1353, progress = 0.90, t =   4.39 s / 308.46 tokens per second
2026-09-26T08:58:45.651Z 6.23.208.133 I slot print_timing: id  3 | task 5802 | prompt processing, n_tokens =   1865, progress = 1.00, t =   4.52 s / 412.72 tokens per second
2026-09-26T08:58:51.341Z 6.28.898.542 I slot print_timing: id  3 | task 5802 | n_gen =    100, tg =  25.37 t/s, tg_3s =  25.63 t/s
2026-09-26T08:58:54.360Z 6.31.916.799 I slot print_timing: id  3 | task 5802 | n_gen =    177, tg =  25.43 t/s, tg_3s =  25.51 t/s
2026-09-26T08:58:57.382Z 6.34.939.039 I slot print_timing: id  3 | task 5802 | n_gen =    253, tg =  25.35 t/s, tg_3s =  25.15 t/s
2026-09-26T08:59:00.404Z 6.37.961.416 I slot print_timing: id  3 | task 5802 | n_gen =    330, tg =  25.38 t/s, tg_3s =  25.48 t/s
2026-09-26T08:59:03.420Z 6.40.976.810 I slot print_timing: id  3 | task 5802 | n_gen =    406, tg =  25.34 t/s, tg_3s =  25.20 t/s
2026-09-26T08:59:06.452Z 6.44.008.945 I slot print_timing: id  3 | task 5802 | n_gen =    483, tg =  25.35 t/s, tg_3s =  25.39 t/s
2026-09-26T08:59:09.469Z 6.47.025.764 I slot print_timing: id  3 | task 5802 | n_gen =    559, tg =  25.33 t/s, tg_3s =  25.19 t/s
2026-09-26T08:59:12.471Z 6.50.028.145 I slot print_timing: id  3 | task 5802 | n_gen =    635, tg =  25.33 t/s, tg_3s =  25.31 t/s
2026-09-26T08:59:15.486Z 6.53.043.527 I slot print_timing: id  3 | task 5802 | n_gen =    710, tg =  25.28 t/s, tg_3s =  24.87 t/s
2026-09-26T08:59:18.521Z 6.56.078.422 I slot print_timing: id  3 | task 5802 | n_gen =    784, tg =  25.19 t/s, tg_3s =  24.38 t/s
2026-09-26T08:59:19.629Z 6.57.186.332 I slot print_timing: id  3 | task 5802 | prompt eval time =    6307.61 ms /  1869 tokens (    3.37 ms per token,   296.31 tokens per second)
2026-09-26T08:59:19.629Z 6.57.186.335 I slot print_timing: id  3 | task 5802 |        eval time =   32189.42 ms /   812 tokens (   39.69 ms per token,    25.19 tokens per second)
2026-09-26T08:59:19.629Z 6.57.186.336 I slot print_timing: id  3 | task 5802 |       total time =   38497.03 ms /  2681 tokens
2026-09-26T08:59:19.629Z 6.57.186.336 I slot print_timing: id  3 | task 5802 |    graphs reused =       6509
2026-09-26T08:59:19.631Z 6.57.188.046 I slot      release: id  3 | task 5802 | stop processing: n_tokens = 5956, truncated = 0
2026-09-26T08:59:23.507Z 7.01.064.297 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.891 (> 0.100 thold), f_keep = 0.515
2026-09-26T08:59:23.507Z 7.01.064.425 I slot launch_slot_: id  3 | task 6618 | processing task, is_child = 0
2026-09-26T08:59:29.754Z 7.07.310.961 I slot print_timing: id  3 | task 6618 | n_gen =    100, tg =  26.13 t/s, tg_3s =  26.39 t/s
2026-09-26T08:59:32.780Z 7.10.336.800 I slot print_timing: id  3 | task 6618 | n_gen =    179, tg =  26.12 t/s, tg_3s =  26.11 t/s
2026-09-26T08:59:35.814Z 7.13.371.003 I slot print_timing: id  3 | task 6618 | n_gen =    256, tg =  25.89 t/s, tg_3s =  25.38 t/s
2026-09-26T08:59:38.837Z 7.16.393.744 I slot print_timing: id  3 | task 6618 | n_gen =    334, tg =  25.87 t/s, tg_3s =  25.80 t/s
2026-09-26T08:59:41.857Z 7.19.414.516 I slot print_timing: id  3 | task 6618 | n_gen =    412, tg =  25.86 t/s, tg_3s =  25.82 t/s
2026-09-26T08:59:44.881Z 7.22.438.341 I slot print_timing: id  3 | task 6618 | n_gen =    490, tg =  25.85 t/s, tg_3s =  25.80 t/s
2026-09-26T08:59:47.897Z 7.25.453.999 I slot print_timing: id  3 | task 6618 | n_gen =    568, tg =  25.85 t/s, tg_3s =  25.86 t/s
2026-09-26T08:59:50.919Z 7.28.476.226 I slot print_timing: id  3 | task 6618 | n_gen =    645, tg =  25.81 t/s, tg_3s =  25.48 t/s
2026-09-26T08:59:53.951Z 7.31.508.655 I slot print_timing: id  3 | task 6618 | n_gen =    723, tg =  25.80 t/s, tg_3s =  25.72 t/s
2026-09-26T08:59:56.979Z 7.34.536.285 I slot print_timing: id  3 | task 6618 | n_gen =    800, tg =  25.76 t/s, tg_3s =  25.43 t/s
2026-09-26T08:59:58.575Z 7.36.132.156 I slot print_timing: id  3 | task 6618 | prompt eval time =    2457.70 ms /   679 tokens (    3.62 ms per token,   276.27 tokens per second)
2026-09-26T08:59:58.575Z 7.36.132.159 I slot print_timing: id  3 | task 6618 |        eval time =   32609.92 ms /   841 tokens (   38.82 ms per token,    25.76 tokens per second)
2026-09-26T08:59:58.575Z 7.36.132.160 I slot print_timing: id  3 | task 6618 |       total time =   35067.62 ms /  1520 tokens
2026-09-26T08:59:58.575Z 7.36.132.161 I slot print_timing: id  3 | task 6618 |    graphs reused =       7345
2026-09-26T08:59:58.576Z 7.36.133.125 I slot      release: id  3 | task 6618 | stop processing: n_tokens = 4283, truncated = 0
2026-09-26T08:59:58.613Z 7.36.170.475 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.639 (> 0.100 thold), f_keep = 0.803
2026-09-26T08:59:58.613Z 7.36.170.539 I slot launch_slot_: id  3 | task 7463 | processing task, is_child = 0
2026-09-26T09:00:03.526Z 7.41.083.131 I slot print_timing: id  3 | task 7463 | prompt processing, n_tokens =   1428, progress = 0.90, t =   4.91 s / 290.69 tokens per second
2026-09-26T09:00:03.868Z 7.41.424.730 I slot print_timing: id  3 | task 7463 | prompt processing, n_tokens =   1940, progress = 1.00, t =   5.25 s / 369.23 tokens per second
2026-09-26T09:00:09.678Z 7.47.235.283 I slot print_timing: id  3 | task 7463 | n_gen =    100, tg =  25.01 t/s, tg_3s =  25.26 t/s
2026-09-26T09:00:12.689Z 7.50.246.037 I slot print_timing: id  3 | task 7463 | n_gen =    176, tg =  25.11 t/s, tg_3s =  25.24 t/s
2026-09-26T09:00:15.698Z 7.53.255.654 I slot print_timing: id  3 | task 7463 | n_gen =    251, tg =  25.05 t/s, tg_3s =  24.92 t/s
2026-09-26T09:00:18.699Z 7.56.256.394 I slot print_timing: id  3 | task 7463 | n_gen =    327, tg =  25.12 t/s, tg_3s =  25.33 t/s
2026-09-26T09:00:21.707Z 7.59.264.010 I slot print_timing: id  3 | task 7463 | n_gen =    402, tg =  25.08 t/s, tg_3s =  24.94 t/s
2026-09-26T09:00:24.746Z 8.02.303.676 I slot print_timing: id  3 | task 7463 | n_gen =    477, tg =  25.02 t/s, tg_3s =  24.67 t/s
2026-09-26T09:00:27.751Z 8.05.307.741 I slot print_timing: id  3 | task 7463 | n_gen =    552, tg =  25.01 t/s, tg_3s =  24.97 t/s
2026-09-26T09:00:30.759Z 8.08.315.811 I slot print_timing: id  3 | task 7463 | n_gen =    627, tg =  25.00 t/s, tg_3s =  24.93 t/s
2026-09-26T09:00:33.792Z 8.11.348.836 I slot print_timing: id  3 | task 7463 | n_gen =    703, tg =  25.01 t/s, tg_3s =  25.06 t/s
2026-09-26T09:00:36.814Z 8.14.371.604 I slot print_timing: id  3 | task 7463 | n_gen =    778, tg =  24.99 t/s, tg_3s =  24.81 t/s
2026-09-26T09:00:39.823Z 8.17.379.807 I slot print_timing: id  3 | task 7463 | n_gen =    853, tg =  24.98 t/s, tg_3s =  24.93 t/s
2026-09-26T09:00:42.143Z 8.19.699.832 I slot print_timing: id  3 | task 7463 | prompt eval time =    7106.00 ms /  1944 tokens (    3.66 ms per token,   273.57 tokens per second)
2026-09-26T09:00:42.143Z 8.19.699.836 I slot print_timing: id  3 | task 7463 |        eval time =   36423.20 ms /   911 tokens (   40.03 ms per token,    24.98 tokens per second)
2026-09-26T09:00:42.143Z 8.19.699.848 I slot print_timing: id  3 | task 7463 |       total time =   43529.20 ms /  2855 tokens
2026-09-26T09:00:42.143Z 8.19.699.852 I slot print_timing: id  3 | task 7463 |    graphs reused =       8251
2026-09-26T09:00:42.144Z 8.19.701.208 I slot      release: id  3 | task 7463 | stop processing: n_tokens = 6293, truncated = 0
2026-09-26T09:00:42.177Z 8.19.733.967 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.643 (> 0.100 thold), f_keep = 0.555
2026-09-26T09:00:42.177Z 8.19.734.048 I slot launch_slot_: id  3 | task 8378 | processing task, is_child = 0
2026-09-26T09:00:47.007Z 8.24.564.469 I slot print_timing: id  3 | task 8378 | prompt processing, n_tokens =   1476, progress = 0.90, t =   4.83 s / 305.57 tokens per second
2026-09-26T09:00:47.239Z 8.24.796.016 I slot print_timing: id  3 | task 8378 | prompt processing, n_tokens =   1988, progress = 1.00, t =   5.06 s / 392.74 tokens per second
2026-09-26T09:00:53.127Z 8.30.683.557 I slot print_timing: id  3 | task 8378 | n_gen =    100, tg =  24.70 t/s, tg_3s =  24.95 t/s
2026-09-26T09:00:56.138Z 8.33.694.719 I slot print_timing: id  3 | task 8378 | n_gen =    176, tg =  24.93 t/s, tg_3s =  25.24 t/s
2026-09-26T09:00:59.146Z 8.36.703.524 I slot print_timing: id  3 | task 8378 | n_gen =    253, tg =  25.13 t/s, tg_3s =  25.59 t/s
2026-09-26T09:01:02.175Z 8.39.732.628 I slot print_timing: id  3 | task 8378 | n_gen =    330, tg =  25.20 t/s, tg_3s =  25.42 t/s
2026-09-26T09:01:05.193Z 8.42.749.678 I slot print_timing: id  3 | task 8378 | n_gen =    404, tg =  25.07 t/s, tg_3s =  24.53 t/s
2026-09-26T09:01:08.201Z 8.45.758.202 I slot print_timing: id  3 | task 8378 | n_gen =    480, tg =  25.10 t/s, tg_3s =  25.26 t/s
2026-09-26T09:01:11.211Z 8.48.768.030 I slot print_timing: id  3 | task 8378 | n_gen =    552, tg =  24.94 t/s, tg_3s =  23.92 t/s
2026-09-26T09:01:14.229Z 8.51.785.876 I slot print_timing: id  3 | task 8378 | n_gen =    625, tg =  24.85 t/s, tg_3s =  24.19 t/s
2026-09-26T09:01:17.229Z 8.54.786.691 I slot print_timing: id  3 | task 8378 | n_gen =    700, tg =  24.87 t/s, tg_3s =  24.99 t/s
2026-09-26T09:01:20.234Z 8.57.790.990 I slot print_timing: id  3 | task 8378 | n_gen =    775, tg =  24.88 t/s, tg_3s =  24.96 t/s
2026-09-26T09:01:23.272Z 9.00.829.568 I slot print_timing: id  3 | task 8378 | n_gen =    851, tg =  24.89 t/s, tg_3s =  25.01 t/s
2026-09-26T09:01:25.794Z 9.03.350.848 I slot print_timing: id  3 | task 8378 | prompt eval time =    6942.00 ms /  1992 tokens (    3.48 ms per token,   286.95 tokens per second)
2026-09-26T09:01:25.794Z 9.03.350.853 I slot print_timing: id  3 | task 8378 |        eval time =   36674.72 ms /   913 tokens (   40.21 ms per token,    24.87 tokens per second)
2026-09-26T09:01:25.794Z 9.03.350.853 I slot print_timing: id  3 | task 8378 |       total time =   43616.72 ms /  2905 tokens
2026-09-26T09:01:25.794Z 9.03.350.854 I slot print_timing: id  3 | task 8378 |    graphs reused =       9159
2026-09-26T09:01:25.795Z 9.03.352.581 I slot      release: id  3 | task 8378 | stop processing: n_tokens = 6343, truncated = 0
2026-09-26T09:01:52.493Z 9.30.050.117 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.144 (> 0.100 thold), f_keep = 0.026
2026-09-26T09:01:52.830Z 9.30.386.960 I slot launch_slot_: id  3 | task 9295 | processing task, is_child = 0
2026-09-26T09:01:56.420Z 9.33.976.859 I slot print_timing: id  3 | task 9295 | prompt processing, n_tokens =   1155, progress = 1.00, t =   3.59 s / 321.74 tokens per second
2026-09-26T09:02:00.296Z 9.37.853.219 I slot print_timing: id  3 | task 9295 | n_gen =    100, tg =  26.90 t/s, tg_3s =  27.17 t/s
2026-09-26T09:02:03.323Z 9.40.879.927 I slot print_timing: id  3 | task 9295 | n_gen =    181, tg =  26.84 t/s, tg_3s =  26.76 t/s
2026-09-26T09:02:03.926Z 9.41.483.434 I slot print_timing: id  3 | task 9295 | prompt eval time =    3785.29 ms /  1159 tokens (    3.27 ms per token,   306.19 tokens per second)
2026-09-26T09:02:03.926Z 9.41.483.437 I slot print_timing: id  3 | task 9295 |        eval time =    7311.09 ms /   197 tokens (   37.30 ms per token,    26.81 tokens per second)
2026-09-26T09:02:03.926Z 9.41.483.437 I slot print_timing: id  3 | task 9295 |       total time =   11096.38 ms /  1356 tokens
2026-09-26T09:02:03.926Z 9.41.483.438 I slot print_timing: id  3 | task 9295 |    graphs reused =       9353
2026-09-26T09:02:03.927Z 9.41.484.119 I slot      release: id  3 | task 9295 | stop processing: n_tokens = 1355, truncated = 0
2026-09-26T09:02:05.019Z 9.42.576.004 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 44280238467
2026-09-26T09:02:05.019Z 9.42.576.624 I slot launch_slot_: id  2 | task 9496 | processing task, is_child = 0
2026-09-26T09:02:08.167Z 9.45.724.190 I slot print_timing: id  2 | task 9496 | prompt eval time =    1646.10 ms /   500 tokens (    3.29 ms per token,   303.75 tokens per second)
2026-09-26T09:02:08.167Z 9.45.724.194 I slot print_timing: id  2 | task 9496 |        eval time =    1368.63 ms /    38 tokens (   36.99 ms per token,    27.03 tokens per second)
2026-09-26T09:02:08.167Z 9.45.724.194 I slot print_timing: id  2 | task 9496 |       total time =    3014.73 ms /   538 tokens
2026-09-26T09:02:08.167Z 9.45.724.195 I slot print_timing: id  2 | task 9496 |    graphs reused =       9388
2026-09-26T09:02:08.167Z 9.45.724.375 I slot      release: id  2 | task 9496 | stop processing: n_tokens = 537, truncated = 0
2026-09-26T09:02:08.178Z 9.45.734.882 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.832 (> 0.100 thold), f_keep = 0.924
2026-09-26T09:02:08.178Z 9.45.734.931 I slot launch_slot_: id  2 | task 9537 | processing task, is_child = 0
2026-09-26T09:02:12.425Z 9.49.981.850 I slot print_timing: id  2 | task 9537 | n_gen =    100, tg =  26.31 t/s, tg_3s =  26.58 t/s
2026-09-26T09:02:15.434Z 9.52.991.090 I slot print_timing: id  2 | task 9537 | n_gen =    180, tg =  26.43 t/s, tg_3s =  26.58 t/s
2026-09-26T09:02:18.459Z 9.56.016.321 I slot print_timing: id  2 | task 9537 | n_gen =    260, tg =  26.44 t/s, tg_3s =  26.44 t/s
2026-09-26T09:02:21.486Z 9.59.043.030 I slot print_timing: id  2 | task 9537 | n_gen =    341, tg =  26.51 t/s, tg_3s =  26.76 t/s
2026-09-26T09:02:22.752Z 10.00.308.832 I slot print_timing: id  2 | task 9537 | prompt eval time =     484.02 ms /   100 tokens (    4.84 ms per token,   206.60 tokens per second)
2026-09-26T09:02:22.752Z 10.00.308.837 I slot print_timing: id  2 | task 9537 |        eval time =   14089.83 ms /   374 tokens (   37.77 ms per token,    26.47 tokens per second)
2026-09-26T09:02:22.752Z 10.00.308.838 I slot print_timing: id  2 | task 9537 |       total time =   14573.85 ms /   474 tokens
2026-09-26T09:02:22.752Z 10.00.308.838 I slot print_timing: id  2 | task 9537 |    graphs reused =       9759
2026-09-26T09:02:22.752Z 10.00.308.915 I slot      release: id  2 | task 9537 | stop processing: n_tokens = 969, truncated = 0
2026-09-26T09:02:32.270Z 10.09.827.433 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 44404805896
2026-09-26T09:02:32.271Z 10.09.828.212 I slot launch_slot_: id  1 | task 9914 | processing task, is_child = 0
2026-09-26T09:02:37.069Z 10.14.625.748 I slot print_timing: id  1 | task 9914 | prompt processing, n_tokens =   2048, progress = 0.74, t =   4.71 s / 434.98 tokens per second
2026-09-26T09:02:38.662Z 10.16.219.132 I slot print_timing: id  1 | task 9914 | prompt processing, n_tokens =   2235, progress = 0.81, t =   6.30 s / 354.67 tokens per second
2026-09-26T09:02:39.269Z 10.16.826.250 I slot print_timing: id  1 | task 9914 | prompt processing, n_tokens =   2722, progress = 0.99, t =   6.91 s / 393.99 tokens per second
2026-09-26T09:02:40.871Z 10.18.428.352 I slot print_timing: id  1 | task 9914 | prompt processing, n_tokens =   2747, progress = 1.00, t =   8.51 s / 322.76 tokens per second
2026-09-26T09:02:44.852Z 10.22.408.970 I slot print_timing: id  1 | task 9914 | n_gen =    100, tg =  26.24 t/s, tg_3s =  26.51 t/s
2026-09-26T09:02:47.879Z 10.25.435.943 I slot print_timing: id  1 | task 9914 | n_gen =    179, tg =  26.18 t/s, tg_3s =  26.10 t/s
2026-09-26T09:02:50.887Z 10.28.444.551 I slot print_timing: id  1 | task 9914 | n_gen =    258, tg =  26.20 t/s, tg_3s =  26.26 t/s
2026-09-26T09:02:53.903Z 10.31.459.818 I slot print_timing: id  1 | task 9914 | n_gen =    336, tg =  26.12 t/s, tg_3s =  25.87 t/s
2026-09-26T09:02:56.923Z 10.34.480.423 I slot print_timing: id  1 | task 9914 | n_gen =    415, tg =  26.13 t/s, tg_3s =  26.15 t/s
2026-09-26T09:02:57.309Z 10.34.866.626 I slot print_timing: id  1 | task 9914 | prompt eval time =    8719.24 ms /  2751 tokens (    3.17 ms per token,   315.51 tokens per second)
2026-09-26T09:02:57.309Z 10.34.866.629 I slot print_timing: id  1 | task 9914 |        eval time =   16229.94 ms /   425 tokens (   38.28 ms per token,    26.12 tokens per second)
2026-09-26T09:02:57.309Z 10.34.866.636 I slot print_timing: id  1 | task 9914 |       total time =   24949.18 ms /  3176 tokens
2026-09-26T09:02:57.309Z 10.34.866.638 I slot print_timing: id  1 | task 9914 |    graphs reused =      10180
2026-09-26T09:02:57.311Z 10.34.868.598 I slot      release: id  1 | task 9914 | stop processing: n_tokens = 3175, truncated = 0
2026-09-26T09:02:57.338Z 10.34.895.240 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.717 (> 0.100 thold), f_keep = 0.865
2026-09-26T09:02:57.339Z 10.34.895.371 I slot launch_slot_: id  1 | task 10344 | processing task, is_child = 0
2026-09-26T09:03:04.903Z 10.42.460.553 I slot print_timing: id  1 | task 10344 | n_gen =    100, tg =  25.86 t/s, tg_3s =  26.12 t/s
2026-09-26T09:03:07.919Z 10.45.476.171 I slot print_timing: id  1 | task 10344 | n_gen =    178, tg =  25.86 t/s, tg_3s =  25.87 t/s
2026-09-26T09:03:10.949Z 10.48.505.747 I slot print_timing: id  1 | task 10344 | n_gen =    256, tg =  25.83 t/s, tg_3s =  25.75 t/s
2026-09-26T09:03:13.961Z 10.51.518.073 I slot print_timing: id  1 | task 10344 | n_gen =    333, tg =  25.76 t/s, tg_3s =  25.56 t/s
2026-09-26T09:03:16.970Z 10.54.527.127 I slot print_timing: id  1 | task 10344 | n_gen =    410, tg =  25.73 t/s, tg_3s =  25.59 t/s
2026-09-26T09:03:18.027Z 10.55.584.035 I slot print_timing: id  1 | task 10344 | prompt eval time =    3736.39 ms /  1086 tokens (    3.44 ms per token,   290.66 tokens per second)
2026-09-26T09:03:18.027Z 10.55.584.039 I slot print_timing: id  1 | task 10344 |        eval time =   16952.19 ms /   437 tokens (   38.88 ms per token,    25.72 tokens per second)
2026-09-26T09:03:18.027Z 10.55.584.040 I slot print_timing: id  1 | task 10344 |       total time =   20688.58 ms /  1523 tokens
2026-09-26T09:03:18.027Z 10.55.584.040 I slot print_timing: id  1 | task 10344 |    graphs reused =      10613
2026-09-26T09:03:18.028Z 10.55.584.872 I slot      release: id  1 | task 10344 | stop processing: n_tokens = 4269, truncated = 0
2026-09-26T09:03:18.044Z 10.55.600.831 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.740 (> 0.100 thold), f_keep = 0.656
2026-09-26T09:03:18.044Z 10.55.600.938 I slot launch_slot_: id  1 | task 10785 | processing task, is_child = 0
2026-09-26T09:03:25.470Z 11.03.027.179 I slot print_timing: id  1 | task 10785 | n_gen =    100, tg =  25.72 t/s, tg_3s =  25.98 t/s
2026-09-26T09:03:28.493Z 11.06.050.373 I slot print_timing: id  1 | task 10785 | n_gen =    178, tg =  25.75 t/s, tg_3s =  25.80 t/s
2026-09-26T09:03:31.517Z 11.09.074.582 I slot print_timing: id  1 | task 10785 | n_gen =    256, tg =  25.77 t/s, tg_3s =  25.79 t/s
2026-09-26T09:03:34.519Z 11.12.076.614 I slot print_timing: id  1 | task 10785 | n_gen =    333, tg =  25.74 t/s, tg_3s =  25.65 t/s
2026-09-26T09:03:37.522Z 11.15.079.498 I slot print_timing: id  1 | task 10785 | n_gen =    410, tg =  25.72 t/s, tg_3s =  25.64 t/s
2026-09-26T09:03:38.741Z 11.16.297.821 I slot print_timing: id  1 | task 10785 | prompt eval time =    3576.76 ms /  1037 tokens (    3.45 ms per token,   289.93 tokens per second)
